time_s,sample_us,dt_us,ax_mps2,ay_mps2,az_mps2,gx_dps,gy_dps,gz_dps,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,confidence,quality_flags,gyro_dps,accel_mps2,q_norm
0.0,848612586,4628,0.0287,0.0359,-9.7484,-1.96,-0.56,0.84,0.998364,-0.0007966,0.0013323,-0.0571575,-0.1,0.147,353.447,1.0,12033,2.204722204723307,9.748508350511887,1.0000000329485494
0.053001,848665587,4999,0.0431,-0.0215,-9.7484,-1.68,-0.28,0.49,0.9983698,-0.0008999,0.0012401,-0.0570565,-0.111,0.136,353.458,1.0,12033,1.7722584461641027,9.748518985979358,1.0000000247061547
0.105002,848717588,4999,0.0431,-0.0287,-9.7484,-2.1,-0.63,0.98,0.998368,-0.0008572,0.0013889,-0.0570853,-0.107,0.153,353.455,1.0,12033,2.401520351777182,9.748537524162279,1.0000000293675697
0.156001,848768587,4998,0.0431,-0.0072,-9.7484,-1.89,-0.56,0.84,0.9983689,-0.0010111,0.0014521,-0.0570657,-0.125,0.16,353.457,1.0,12033,2.142731901101955,9.748497936092514,1.000000042760659
0.208001,848820587,4998,0.0359,-0.0359,-9.7555,-1.54,-0.42,0.84,0.9983662,-0.0011032,0.0013997,-0.057112,-0.135,0.153,353.452,1.0,12033,1.8037738217415176,9.755632110222278,1.000000013028385
0.259001,848871587,4999,0.1436,0.0431,-9.7053,-2.24,-0.7,0.63,0.9983677,-0.0012345,0.0012507,-0.0570874,-0.149,0.135,353.455,1.0,12033,2.4299176940793696,9.70645798734018,1.0000000619413931
0.311002,848923588,5000,0.0431,0.0215,-9.655,-2.1,-0.7,0.49,0.998363,-0.0013959,0.0012438,-0.0571667,-0.168,0.133,353.445,1.0,12033,2.2671788636982306,9.655120137005028,1.0000001034665646
0.362001,848974587,5000,0.0359,0.0144,-9.6407,-1.82,-0.28,0.98,0.9983639,-0.0015224,0.0012754,-0.0571459,-0.183,0.136,353.448,1.0,12033,2.0859530196051876,9.64077759623154,1.0000000375284692
0.414003,849026589,5003,0.0502,0.0215,-9.7986,-1.68,-0.49,0.77,0.9983639,-0.0017813,0.0012624,-0.0571388,-0.212,0.133,353.449,1.0,12033,1.9119100397246727,9.798752178211265,1.000000042986049
0.465001,849077587,4999,0.0861,0.0861,-9.6838,-1.89,-0.63,0.84,0.9983634,-0.0018744,0.0011659,-0.0571448,-0.222,0.121,353.448,1.0,12033,2.16208232960727,9.684565496706602,0.9999999396623832
0.517003,849129589,4899,0.0431,0.0144,-9.7268,-1.75,-0.56,0.77,0.9983672,-0.0020179,0.0011169,-0.0570753,-0.238,0.115,353.456,1.0,12033,1.992234925906079,9.726906147897184,0.9999999876459749
0.568003,849180589,5000,0.0072,0.079,-9.813,-1.54,-0.49,0.7,0.9983654,-0.0021817,0.0010075,-0.057104,-0.256,0.101,353.453,1.0,12033,1.7611643875572773,9.813320632691058,1.0000000568021483
0.620001,849232587,5001,0.0144,-0.0144,-9.8632,-1.89,-0.77,0.77,0.9983648,-0.0020862,0.0010884,-0.0571154,-0.246,0.111,353.451,1.0,12033,2.1812611031236036,9.863221023580483,0.9999999898206
0.671002,849283588,5000,0.0431,0.079,-9.7771,-2.1,-0.35,0.42,0.9983643,-0.0020465,0.0010565,-0.0571259,-0.241,0.107,353.45,1.0,12033,2.17,9.777514153403207,0.9999999741598996
0.723001,849335587,4898,0.0144,0.0431,-9.7412,-1.89,-0.42,0.98,0.9983614,0.0007261,0.0022135,-0.0571767,0.069,0.258,353.445,1.0,12033,2.17,9.741305990984987,1.000000043418154
0.774002,849386588,4999,0.0646,0.0,-9.7986,-2.24,-0.7,0.77,0.9983578,0.0003333,0.0021332,-0.0572463,0.024,0.246,353.437,1.0,16131,2.4699190270128293,9.798812944433626,1.0000000486578289
0.825002,849437588,4631,0.0072,-0.0718,-9.6909,-1.82,-0.77,0.63,0.9983522,3.12e-05,0.0018755,-0.0573535,-0.009,0.215,353.424,1.0,12033,2.074174534604068,9.69116865450189,1.0000000288403896
0.876001,849488587,5001,0.0287,-0.0072,-9.7914,-1.82,-0.42,0.77,0.9983522,-0.0004419,0.0017074,-0.0573574,-0.062,0.192,353.424,1.0,12033,2.020321756552654,9.79144470903043,1.0000000485349838
0.928002,849540588,5000,0.0502,0.0431,-9.6909,-1.89,-0.91,0.63,0.9983488,-0.0006011,0.0017035,-0.0574145,-0.08,0.191,353.417,1.0,12033,2.1902282986026824,9.69112586132282,1.000000007252575
0.979003,849591589,5002,0.0574,-0.0072,-9.6909,-1.75,-0.63,0.98,0.9983368,0.0029845,0.0031381,-0.0574884,0.321,0.379,353.41,1.0,12033,2.102332038475369,9.691072665603121,1.00000001864033
1.031003,849643589,5001,0.0431,1.8233,-9.7627,-1.75,-0.56,0.98,0.9983316,0.0010109,0.0021343,-0.0576939,0.102,0.251,353.385,1.0,12033,2.0824264692900925,9.931595631619322,1.0000000734055323
1.082003,849694589,5002,0.0502,-0.0215,-9.7125,-1.89,-0.7,0.63,0.9983248,0.0005796,0.0020233,-0.0578207,0.053,0.235,353.371,1.0,12033,2.11163443805977,9.712653527229314,1.0000000346612894
1.133003,849745589,4635,0.0431,0.0287,-9.8704,-1.89,-0.49,0.77,0.9983243,0.0001661,0.0019217,-0.0578358,0.006,0.221,353.369,1.0,12033,2.098833009079093,9.87053582436131,1.0000000541261136
